ISO 8601 UTC,Timestamp (UTC-05:00),Value,Approval Level,Grade,Qualifiers
2018-05-02T02:00:00Z,5/1/2018 21:00,9.74,Approved,50,
2018-05-02T02:15:00Z,5/1/2018 21:15,9.7,Approved,50,
2018-05-02T02:30:00Z,5/1/2018 21:30,9.66,Approved,50,
2018-05-02T02:45:00Z,5/1/2018 21:45,9.62,Approved,50,
2018-05-02T03:00:00Z,5/1/2018 22:00,9.59,Approved,50,
2018-05-02T03:15:00Z,5/1/2018 22:15,9.55,Approved,50,
2018-05-02T03:30:00Z,5/1/2018 22:30,9.51,Approved,50,
2018-05-02T03:45:00Z,5/1/2018 22:45,9.48,Approved,50,
2018-05-02T04:00:00Z,5/1/2018 23:00,9.44,Approved,50,
2018-05-02T04:15:00Z,5/1/2018 23:15,9.42,Approved,50,
2018-05-02T04:30:00Z,5/1/2018 23:30,9.37,Approved,50,
2018-05-02T04:45:00Z,5/1/2018 23:45,9.32,Approved,50,
2018-05-02T05:00:00Z,5/2/2018 0:00,9.28,Approved,50,
2018-05-02T05:15:00Z,5/2/2018 0:15,9.25,Approved,50,
2018-05-02T05:30:00Z,5/2/2018 0:30,9.21,Approved,50,
2018-05-02T05:45:00Z,5/2/2018 0:45,9.17,Approved,50,
2018-05-02T06:00:00Z,5/2/2018 1:00,9.13,Approved,50,
2018-05-02T06:15:00Z,5/2/2018 1:15,9.09,Approved,50,
2018-05-02T06:30:00Z,5/2/2018 1:30,9.05,Approved,50,
2018-05-02T06:45:00Z,5/2/2018 1:45,9.01,Approved,50,
2018-05-02T07:00:00Z,5/2/2018 2:00,8.97,Approved,50,
2018-05-02T07:15:00Z,5/2/2018 2:15,8.94,Approved,50,
2018-05-02T07:30:00Z,5/2/2018 2:30,8.9,Approved,50,
2018-05-02T07:45:00Z,5/2/2018 2:45,8.86,Approved,50,
2018-05-02T08:00:00Z,5/2/2018 3:00,8.82,Approved,50,
2018-05-02T08:15:00Z,5/2/2018 3:15,8.78,Approved,50,
2018-05-02T08:30:00Z,5/2/2018 3:30,8.74,Approved,50,
2018-05-02T08:45:00Z,5/2/2018 3:45,8.72,Approved,50,
2018-05-02T09:00:00Z,5/2/2018 4:00,8.68,Approved,50,
2018-05-02T09:15:00Z,5/2/2018 4:15,8.63,Approved,50,
2018-05-02T09:30:00Z,5/2/2018 4:30,8.59,Approved,50,
2018-05-02T09:45:00Z,5/2/2018 4:45,8.55,Approved,50,
2018-05-02T10:00:00Z,5/2/2018 5:00,8.51,Approved,50,
2018-05-02T10:15:00Z,5/2/2018 5:15,8.47,Approved,50,
2018-05-02T10:30:00Z,5/2/2018 5:30,8.43,Approved,50,
2018-05-02T10:45:00Z,5/2/2018 5:45,8.39,Approved,50,
2018-05-02T11:00:00Z,5/2/2018 6:00,8.36,Approved,50,
2018-05-02T11:15:00Z,5/2/2018 6:15,8.32,Approved,50,
2018-05-02T11:30:00Z,5/2/2018 6:30,8.28,Approved,50,
2018-05-02T11:45:00Z,5/2/2018 6:45,8.25,Approved,50,
2018-05-02T12:00:00Z,5/2/2018 7:00,8.21,Approved,50,
2018-05-02T12:15:00Z,5/2/2018 7:15,8.19,Approved,50,
2018-05-02T12:30:00Z,5/2/2018 7:30,8.15,Approved,50,
2018-05-02T12:45:00Z,5/2/2018 7:45,8.1,Approved,50,
2018-05-02T13:00:00Z,5/2/2018 8:00,8.06,Approved,50,
2018-05-02T13:15:00Z,5/2/2018 8:15,8.03,Approved,50,
2018-05-02T13:30:00Z,5/2/2018 8:30,7.99,Approved,50,
2018-05-02T13:45:00Z,5/2/2018 8:45,7.96,Approved,50,
2018-05-02T14:00:00Z,5/2/2018 9:00,7.92,Approved,50,
2018-05-02T14:15:00Z,5/2/2018 9:15,7.89,Approved,50,
2018-05-02T14:30:00Z,5/2/2018 9:30,7.85,Approved,50,
2018-05-02T14:45:00Z,5/2/2018 9:45,7.81,Approved,50,
2018-05-02T15:00:00Z,5/2/2018 10:00,7.78,Approved,50,
2018-05-02T15:15:00Z,5/2/2018 10:15,7.74,Approved,50,
2018-05-02T15:30:00Z,5/2/2018 10:30,7.71,Approved,50,
2018-05-02T15:45:00Z,5/2/2018 10:45,7.69,Approved,50,
2018-05-02T16:00:00Z,5/2/2018 11:00,7.65,Approved,50,
2018-05-02T16:15:00Z,5/2/2018 11:15,7.61,Approved,50,
2018-05-02T16:30:00Z,5/2/2018 11:30,7.57,Approved,50,
2018-05-02T16:45:00Z,5/2/2018 11:45,7.56,Approved,50,
2018-05-02T17:00:00Z,5/2/2018 12:00,7.52,Approved,50,
2018-05-02T17:15:00Z,5/2/2018 12:15,7.5,Approved,50,
2018-05-02T17:30:00Z,5/2/2018 12:30,7.46,Approved,50,
2018-05-02T17:45:00Z,5/2/2018 12:45,7.43,Approved,50,
2018-05-02T18:00:00Z,5/2/2018 13:00,7.39,Approved,50,
2018-05-02T18:15:00Z,5/2/2018 13:15,7.37,Approved,50,
2018-05-02T18:30:00Z,5/2/2018 13:30,7.33,Approved,50,
2018-05-02T18:45:00Z,5/2/2018 13:45,7.31,Approved,50,
2018-05-02T19:00:00Z,5/2/2018 14:00,7.27,Approved,50,
2018-05-02T19:15:00Z,5/2/2018 14:15,7.25,Approved,50,
2018-05-02T19:30:00Z,5/2/2018 14:30,7.21,Approved,50,
2018-05-02T19:45:00Z,5/2/2018 14:45,7.19,Approved,50,
2018-05-02T20:00:00Z,5/2/2018 15:00,7.15,Approved,50,
2018-05-02T20:15:00Z,5/2/2018 15:15,7.13,Approved,50,
2018-05-02T20:30:00Z,5/2/2018 15:30,7.09,Approved,50,
2018-05-02T20:45:00Z,5/2/2018 15:45,7.07,Approved,50,
2018-05-02T21:00:00Z,5/2/2018 16:00,7,Approved,50,
2018-05-02T21:15:00Z,5/2/2018 16:15,6.98,Approved,50,
2018-05-02T21:30:00Z,5/2/2018 16:30,6.97,Approved,50,
2018-05-02T21:45:00Z,5/2/2018 16:45,6.96,Approved,50,
2018-05-02T22:00:00Z,5/2/2018 17:00,6.94,Approved,50,
2018-05-02T22:15:00Z,5/2/2018 17:15,6.92,Approved,50,
2018-05-02T22:30:00Z,5/2/2018 17:30,6.9,Approved,50,
2018-05-02T22:45:00Z,5/2/2018 17:45,6.86,Approved,50,
2018-05-02T23:00:00Z,5/2/2018 18:00,6.84,Approved,50,
2018-05-02T23:15:00Z,5/2/2018 18:15,6.82,Approved,50,
2018-05-02T23:30:00Z,5/2/2018 18:30,6.79,Approved,50,
2018-05-02T23:45:00Z,5/2/2018 18:45,6.77,Approved,50,
2018-05-03T00:00:00Z,5/2/2018 19:00,6.75,Approved,50,
2018-05-03T00:15:00Z,5/2/2018 19:15,6.72,Approved,50,
