Station,Elevation
-21.09000015,437.6099854
0,416.8299866
9.430000305,416.1499939
14.14000034,416.4700012
18.94000053,417.0899963
31.51000023,419.1799927
32.25,419.1099854
34.11999893,420.1099854
39.61000061,420.7000122
73.05000305,419.9599915
102.3199997,419.6000061
114.8300018,419.6700134
155.4100037,417.7399902
179.9900055,413.4599915
188.0099945,412.5
209.5599976,409.1099854
212.9900055,408.5
221.0099945,406.980011
222.9100037,406.6499939
225.5899963,406.0799866
229.8699951,405.2000122
243.8500061,402.3800049
245.9900055,401.980011
254.0099945,400.4599915
269.5599976,397.230011
278.9899902,395.7099915
287.0100098,394.1600037
296.3200073,392.769989
296.4299927,392.75
311.9899902,390.0100098
357.0100098,382.9700012
360.2999878,382.3699951
374.1799927,380.1600037
395.3299866,376.8299866
406.519989,375.0599976
416.1900024,373.5100098
422.4100037,372.4899902
426.6700134,371.7600098
430.5599976,371.0499878
446.2200012,368.2200012
521.0300293,355.6499939
563.75,356.4400024
567.1799927,356.5
569.4799805,356.5599976
571.9099731,356.5899963
574.4000244,356.5899963
722.2399902,349.9500122
773.5,352.6199951
780.2600098,352.7600098
786.6900024,353.0100098
796.5999756,353
858.9899902,347.4400024
894.0100098,343.7399902
952.3900146,338.6700134
956.2399902,338.7999878
960.2600098,338.8299866
964.7299805,338.8699951
1012.919983,349.8699951
1058.02002,356.8500061
1065.089966,356.8399963
1195.01001,355.0100098
1200.040039,354.9899902
1204.099976,354.9899902
1255.619995,356.5299988
1404.599976,357.019989
1406.76001,357.0400085
1408.869995,357.0299988
1410.660034,357.0599976
1413.98999,357.1099854
1449.01001,354.230011
1459.569946,352.019989
1482.170044,350.8299866
1482.930054,350.75
1528.209961,350.1799927
1530.569946,350.019989
1532.77002,349.8599854
1548.339966,347.7999878
1571.790039,352.6799927
1574.969971,352.9700012
1578.349976,353.269989
1593.380005,352.8999939
1595.300049,353.2799988
1657.150024,359.4100037
1703.089966,359.9100037
1707.589966,359.9700012
1756.040039,359.519989
1799.339966,358.980011
1841.130005,356.9400024
1865.449951,359.8699951
1899.459961,366.9599915
1902.01001,367.5599976
1905.140015,368.2900085
1907.76001,368.8999939
1910.72998,369.5899963
1914,370.3099976
1916.699951,370.9299927
1922.630005,372.1400146
1932.02002,374.1400146
1936.109985,375.0299988
1948.160034,377.5799866
1948.849976,377.7399902
1950.910034,378.2000122
1956.689941,379.5
1967.930054,382.0100098
1976.170044,383.8599854
1991.550049,387.25
2009.939941,391.3800049
2020.98999,394.0499878
2029.01001,395.6700134
2030.5,395.980011
2030.780029,396.0400085
2030.959961,396.0599976
2031.219971,396.1000061
2031.319946,396.1099854
2044.640015,397.7799988
2053.98999,398.3699951
2062.01001,398.730011
2080.649902,399.6300049
2086.98999,399.8099976
2095.01001,400.4299927
2119.98999,403.9899902
2128.01001,404.7799988
2146.73999,406.1700134
2152.98999,406.2900085
2193.01001,408.9899902
2257.620117,416.9299927
2328.149902,423.7600098
2390.540039,432.3200073
2408.889893,434.769989
2431.449951,437.75
2453.25,440.0599976
2460.01001,440.480011
2583.280029,440.4700012
2593.580078,440.6700134
